"","Time","Day_of_week","X466910","X466920","X466930","C0A980","C0A9A0","C0A9B0","C0A9C0","C0A9E0","C0A9F0","C0AC40","C0AC70","C0AC80","C0AH40","C0AH70","C1A730","C1AC50"
"2976","2015/5/4 23:00","Mon","1","1.1","1.6","1.5","0.5","1","1","1.5","0.5","1","0.5","1",NA,NA,"0.5","0.5"
"2977","2015/5/5 00:00","Tue","1.4","2.3","2.3","0.5","1.5","0.5","0.5","1.5","1.5","2","2","2",NA,NA,"1.5","1"
"2978","2015/5/5 01:00","Tue","0.1","0.3","0","0","0","0","0","0","0","0","0.5","0.5",NA,NA,"1.5","0"
"2979","2015/5/5 02:00","Tue","0.1","2.1","0.2","0.5","1","0.5","1","0.5","1.5","0","3","4",NA,NA,"4","0.5"
"2980","2015/5/5 03:00","Tue","0.1","4.4","0.2","1","0.5","0.5","0","1","0.5","0.5","5.5","6.5",NA,NA,"5.5","0"
"2981","2015/5/5 04:00","Tue","3.3","0.3","4.5","0","0.5","1","1.5","0","0.5","4","0","0",NA,NA,"0","1.5"
"2982","2015/5/5 05:00","Tue","2","1.4","2","3.5","1","3","2.5","2.5","1","3.5","1","0.5",NA,NA,"0.5","5"
"2983","2015/5/5 06:00","Tue","3.5","2.9","3.8","1.5","2","4","3.5","1.5","4.5","4.5","3","2.5",NA,NA,"3","2.5"
"2984","2015/5/5 07:00","Tue","12.1","10","10","11","10.5","10","9","13","11.5","11","11","6",NA,NA,"8","13"
"2985","2015/5/5 08:00","Tue","5","6.1","4","5.5","6.5","5.5","5.5","6","7","6.5","7.5","6.5",NA,NA,"7.5","6"
"2986","2015/5/5 09:00","Tue","1.9","1.5","1.4","1","1.5","1","1","1.5","1","1.5","2","2.5",NA,NA,"2","1.5"
"2987","2015/5/5 10:00","Tue","5","2.3","5","2","2.5","2","2.5","1.5","3","5","4","1.5",NA,NA,"2.5","3"
"2988","2015/5/5 11:00","Tue","1.1","1.4","3","2.5","3","2.5","3","2.5","3","1.5","1.5","2.5",NA,NA,"2","2"
"2989","2015/5/5 12:00","Tue","0.2","0.1","0.6","0","0","0","0","0","0.5","0.5","0","0.5",NA,NA,"0.5","0"
"2990","2015/5/5 13:00","Tue","0.1","0.3","0.2","0","0","0","0","0","0",NA,"0.5","0.5",NA,NA,"0.5","0"
"2991","2015/5/5 14:00","Tue","1.3","3.8","2","2.5","3.5","2","2.5","3","3","0.5","3.5","1.5",NA,NA,"3","1"
"2992","2015/5/5 15:00","Tue","3.5","1.2","2","2.5","2","3","2.5","2.5","2.5","4","2","1",NA,NA,"1","1.5"
"2993","2015/5/5 16:00","Tue","0.5","0.9","0.2","1.5","0.5","0.5","0.5","1","0.5","0.5","0.5","0.5",NA,NA,"1","0.5"
"2994","2015/5/5 17:00","Tue","0.1","0","0.2","0","0","0.5","0.5","0.5","0","0","0","0",NA,NA,"0","0"
"2995","2015/5/5 18:00","Tue","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2996","2015/5/5 19:00","Tue","0.1","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
